Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022
Oregon,2493432,2559698,2658285,56507,61646,62303,78.8,79.6,79.7,0.493,0.057,0.208,0.162,0.009,0.071,0.473,0.056,0.238,0.163,0.009,0.061,45.41,3831074,4237256,40.6,11.2,189.6,27.6,5.5,2.7,7.5,13127.0,311.2,12084.0,286.5,1042.0,24.7,2709,690,1848,6982,16349,15310
Pennsylvania,7412855,7650343,7978320,60320,64042,64506,76.8,78.3,78.1,0.518,0.051,0.202,0.163,0.008,0.057,0.516,0.053,0.208,0.163,0.005,0.054,292.62,12702379,13002700,45.2,11.2,221.6,29.5,6.3,2.6,9.2,42051.0,328.5,36134.0,282.3,5916.0,46.2,9300,3981,357,39980,40867,25054
Rhode Island,615668,640257,668802,59066,63663,63557,78.2,79.5,79.8,0.54,0.059,0.205,0.146,0.008,0.043,0.505,0.056,0.239,0.151,0.005,0.043,1074.3,1052567,1097379,48.8,11.2,201.8,30.3,6.2,2.2,9.1,4063.0,383.5,3805.0,359.2,257.0,24.3,1068,942,945,3531,2168,1185
South Carolina,2825233,2938337,3067127,48772,52828,53618,74.8,76.8,76.5,0.454,0.061,0.188,0.168,0.022,0.108,0.439,0.068,0.201,0.17,0.022,0.1,175.19,4625364,5118425,40.0,9.6,223.7,34.6,7.4,2.6,11.6,12197.0,236.9,11364.0,220.7,833.0,16.2,1383,2967,888,20713,26110,15145
South Dakota,606246,625510,647960,59465,65421,68176,76.7,78.4,78.9,0.515,0.083,0.128,0.161,0.018,0.096,0.498,0.088,0.138,0.155,0.027,0.094,11.98,814180,886667,47.0,8.5,208.4,28.2,5.2,2.6,9.3,2214.0,250.3,2017.0,228.0,197.0,22.3,1155,660,774,3787,1823,1389
Tennessee,4121045,4301472,4506394,51928,56970,58292,73.8,75.6,75.5,0.478,0.056,0.195,0.15,0.018,0.102,0.476,0.06,0.196,0.15,0.017,0.101,171.71,6346105,6910840,38.8,8.8,262.5,36.4,8.9,3.3,12.1,17687.0,259.0,16722.0,244.9,965.0,14.1,4128,4860,1743,24589,35606,17921
Texas,17700743,18559325,19631436,55118,60548,62586,76.5,78.6,78.4,0.476,0.057,0.159,0.109,0.016,0.184,0.461,0.06,0.169,0.111,0.018,0.18,116.16,25145561,29145505,39.4,7.0,217.5,31.2,5.1,3.3,11.9,67182.0,231.7,62219.0,214.6,4960.0,17.1,6144,12420,3918,94249,125095,66605
Utah,2135748,2250031,2367996,51751,57042,59457,78.6,79.7,79.6,0.605,0.093,0.093,0.1,0.012,0.096,0.593,0.09,0.11,0.102,0.013,0.091,41.67,2763885,3271616,41.8,9.8,193.0,26.9,4.3,2.6,8.3,7198.0,224.5,6515.0,203.2,683.0,21.3,558,825,570,5590,7621,4665
Vermont,409316,421226,436306,57978,61214,63039,78.8,79.8,79.3,0.484,0.048,0.239,0.175,0.01,0.044,0.483,0.053,0.246,0.176,0.0,0.033,70.34,625741,643077,44.8,12.1,200.5,26.8,5.7,2.0,7.4,2410.0,386.2,2312.0,370.5,98.0,15.7,603,630,339,1450,2849,2600
Virginia,5224726,5392698,5599585,61474,66838,68985,77.6,79.1,79.0,0.541,0.052,0.135,0.148,0.044,0.08,0.539,0.048,0.155,0.149,0.041,0.068,223.36,8001024,8631393,46.8,8.8,202.7,31.3,6.1,2.4,9.9,22874.0,268.0,21378.0,250.5,1494.0,17.5,4596,3210,1557,18407,28208,20165
Washington,4435738,4576236,4815623,67674,74188,75332,79.2,80.0,80.0,0.529,0.05,0.198,0.139,0.018,0.066,0.518,0.051,0.21,0.138,0.019,0.065,120.37,6724540,7705281,46.7,9.9,186.4,28.3,4.8,2.4,8.5,21731.0,285.4,20282.0,266.3,1449.0,19.0,4806,2343,1986,8950,20152,18940
West Virginia,840864,864509,890610,45071,49071,49993,72.8,74.5,74.4,0.44,0.025,0.266,0.19,0.013,0.066,0.425,0.032,0.281,0.189,0.01,0.062,73.88,1852994,1793716,40.9,11.6,260.1,39.0,10.7,3.5,13.1,4914.0,274.2,4112.0,229.4,801.0,44.7,2286,2361,1185,5918,11891,7412
Wisconsin,3581998,3684969,3819180,55431,60381,61475,77.7,79.3,79.3,0.565,0.053,0.161,0.155,0.008,0.058,0.544,0.053,0.181,0.16,0.008,0.054,109.97,5686986,5893718,44.3,10.2,207.2,27.9,4.9,2.5,7.5,15975.0,274.4,14817.0,254.5,1158.0,19.9,2316,3663,2010,17291,12577,9800
Wyoming,401701,420429,436564,65558,70522,73248,76.3,77.7,78.1,0.511,0.071,0.115,0.162,0.018,0.123,0.495,0.085,0.115,0.169,0.021,0.115,5.98,563626,576851,34.7,9.5,196.9,28.2,6.0,2.1,6.8,1225.0,211.7,1081.0,186.8,144.0,24.9,291,936,807,2349,2735,1262
