State,County,Count
MI,Ontonagon County,419
MI,Oscoda County,419
MI,Otsego County,853
MI,Presque Isle County,419
MI,Roscommon County,419
MI,Saginaw County,419
MI,Sanilac County,419
MI,Schoolcraft County,419
MI,Shiawassee County,419
MI,Tuscola County,419
MI,Washtenaw County,419
MI,Wexford County,419
MN,Aitkin County,294
MN,Anoka County,294
MN,Becker County,294
MN,Beltrami County,294
MN,Big Stone County,294
MN,Blue Earth County,294
MN,Carlton County,294
MN,Carver County,294
MN,Chisago County,294
MN,Clearwater County,294
MN,Cottonwood County,294
MN,Crow Wing County,294
MN,Dakota County,294
MN,Dodge County,536
MN,Faribault County,294
MN,Fillmore County,294
MN,Freeborn County,294
MN,Goodhue County,294
MN,Hennepin County,294
MN,Hubbard County,294
MN,Isanti County,294
MN,Itasca County,294
MN,Kanabec County,294
MN,Kandiyohi County,294
MN,Kittson County,294
MN,Koochiching County,294
MN,Lac qui Parle County,294
MN,Lake of the Woods County,294
MN,Le Sueur County,294
MN,McLeod County,294
MN,Mahnomen County,294
MN,Meeker County,294
MN,Mille Lacs County,294
MN,Morrison County,294
MN,Mower County,294
MN,Murray County,294
MN,Nicollet County,294
MN,Nobles County,294
MN,Norman County,294
MN,Olmsted County,294
MN,Otter Tail County,294
MN,Pennington County,294
MN,Pine County,294
MN,Pipestone County,294
MN,Ramsey County,360
MN,Red Lake County,294
MN,Redwood County,294
MN,Renville County,360
MN,Rock County,536
MN,Roseau County,294
MN,St. Louis County,294
MN,Sherburne County,294
MN,Sibley County,294
MN,Stearns County,294
MN,Steele County,360
MN,Swift County,294
MN,Traverse County,294
MN,Wabasha County,294
MN,Wadena County,294
MN,Waseca County,294
MN,Watonwan County,294
MN,Wilkin County,294
MN,Winona County,294
MN,Yellow Medicine County,294
MS,Alcorn County,154
MS,Amite County,147
MS,Attala County,154
MS,Bolivar County,170
MS,Claiborne County,141
MS,Coahoma County,149
MS,Copiah County,138
MS,DeSoto County,205
MS,Forrest County,205
MS,George County,126
MS,Grenada County,154
MS,Hinds County,177
MS,Holmes County,463
MS,Humphreys County,173
MS,Issaquena County,56
MS,Itawamba County,183
MS,Jefferson Davis County,154
MS,Kemper County,147
MS,Leake County,141
MS,Leflore County,170
MS,Neshoba County,176
MS,Noxubee County,149
MS,Oktibbeha County,147
MS,Panola County,420
MS,Pearl River County,138
MS,Pontotoc County,163
MS,Prentiss County,154
MS,Quitman County,106
MS,Rankin County,184
MS,Sharkey County,72
MS,Sunflower County,152
MS,Tallahatchie County,142
MS,Tate County,177
MS,Tippah County,154
MS,Tishomingo County,154
MS,Tunica County,103
MS,Walthall County,142
MS,Wilkinson County,80
MS,Yalobusha County,179
MS,Yazoo County,138
MT,Beaverhead County,212
MT,Big Horn County,278
MT,Blaine County,212
MT,Broadwater County,212
MT,Carbon County,891
MT,Cascade County,212
MT,Chouteau County,212
MT,Daniels County,212
MT,Dawson County,462
MT,Deer Lodge County,212
MT,Fallon County,212
MT,Fergus County,212
MT,Flathead County,212
MT,Glacier County,212
MT,Golden Valley County,278
MT,Granite County,212
MT,Hill County,462
MT,Judith Basin County,212
MT,Lewis and Clark County,212
MT,Liberty County,462
MT,McCone County,212
MT,Meagher County,212
MT,Missoula County,212
MT,Musselshell County,212
MT,Petroleum County,212
MT,Pondera County,212
MT,Powder River County,212
MT,Ravalli County,212
MT,Roosevelt County,670
MT,Rosebud County,212
MT,Sanders County,212
MT,Silver Bow County,212
MT,Stillwater County,212
MT,Sweet Grass County,212
MT,Teton County,278
MT,Toole County,212
MT,Treasure County,212
MT,Valley County,212
MT,Wheatland County,212
MT,Wibaux County,212
MT,Yellowstone County,212
NV,Churchill County,418
NV,Elko County,418
NV,Esmeralda County,418
NV,Eureka County,418
NV,Lander County,418
NV,Nye County,418
NV,Pershing County,418
NV,Storey County,418
NV,Washoe County,418
NV,White Pine County,418
NV,Carson City,418
NH,Belknap County,148
NH,Cheshire County,148
NH,Coos County,515
NH,Grafton County,148
NH,Hillsborough County,148
NH,Merrimack County,148
NH,Rockingham County,821
NH,Strafford County,148
NJ,Atlantic County,413
NJ,Bergen County,413
NJ,Burlington County,413
NJ,Camden County,735
NJ,Cape May County,413
NJ,Gloucester County,764
NJ,Hudson County,413
NJ,Hunterdon County,413
NJ,Monmouth County,413
NJ,Ocean County,413
NJ,Passaic County,413
NJ,Salem County,413
NM,Bernalillo County,458
NM,Catron County,458
NM,Chaves County,458
NM,Cibola County,441
NM,Colfax County,458
NM,Curry County,825
NM,De Baca County,458
NM,Doña Ana County,458
NM,Eddy County,524
NM,Guadalupe County,708
NM,Harding County,458
NM,Hidalgo County,708
NM,Lea County,458
NM,Los Alamos County,458
NM,Luna County,458
NM,McKinley County,441
NM,Mora County,458
NM,Quay County,458
NM,Rio Arriba County,458
NM,Sandoval County,458
NM,Santa Fe County,458
NM,Socorro County,458
NM,Taos County,458
NM,Torrance County,458
NM,Valencia County,458
NY,Albany County,500
NY,Bronx County,434
NY,Broome County,434
NY,Cattaraugus County,434
NY,Cayuga County,434
NY,Chemung County,434
NY,Chenango County,434
NY,Cortland County,434
NY,Dutchess County,434
NY,Erie County,1183
NY,Herkimer County,434
NY,Nassau County,434
NY,New York County,434
NY,Niagara County,434
NY,Oneida County,676
NY,Onondaga County,434
NY,Ontario County,434
NY,Orleans County,751
NY,Oswego County,434
NY,Queens County,434
NY,Rensselaer County,434
NY,Richmond County,1107
NY,Rockland County,434
NY,St. Lawrence County,434
NY,Saratoga County,434
NY,Schenectady County,434
NY,Schoharie County,434
NY,Seneca County,748
NY,Tioga County,869
NY,Tompkins County,434
NY,Ulster County,434
NY,Westchester County,434
NY,Wyoming County,1217
NY,Yates County,434
NC,Alamance County,322
NC,Alleghany County,673
NC,Anson County,322
NC,Ashe County,322
NC,Avery County,322
NC,Beaufort County,322
NC,Bertie County,322
NC,Bladen County,322
NC,Brunswick County,673
NC,Buncombe County,322
NC,Burke County,388
NC,Cabarrus County,322
NC,Carteret County,322
NC,Caswell County,322
NC,Catawba County,322
NC,Chatham County,322
NC,Chowan County,322
NC,Columbus County,322
NC,Craven County,322
NC,Currituck County,322
NC,Dare County,322
NC,Davidson County,322
NC,Davie County,322
NC,Duplin County,322
NC,Durham County,322
NC,Edgecombe County,322
NC,Forsyth County,322
NC,Gaston County,322
NC,Gates County,322
NC,Granville County,322
NC,Guilford County,322
NC,Halifax County,673
NC,Harnett County,322
NC,Haywood County,322
NC,Hertford County,322
NC,Hoke County,322
NC,Hyde County,322
NC,Iredell County,322
NC,Johnston County,322
