"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Current President","Your State Governor"
"Late Jun","Wyoming",56,2020-06-12,2020-06-28,149,51.84042703,53.71526432
"Late Jul","United States",NA,2020-07-10,2020-07-26,19437,32.74580061,52.02625432
"Late Jul","Alaska",2,2020-07-10,2020-07-26,129,31.33880713,46.63155923
"Late Jul","Alabama",1,2020-07-10,2020-07-26,440,47.03575155,47.07338716
"Late Jul","Arkansas",5,2020-07-10,2020-07-26,394,38.61798683,41.88416701
"Late Jul","Arizona",4,2020-07-10,2020-07-26,352,38.67886077,28.09638263
"Late Jul","California",6,2020-07-10,2020-07-26,558,29.84094292,58.44184565
"Late Jul","Colorado",8,2020-07-10,2020-07-26,377,27.36887551,53.23250645
"Late Jul","Connecticut",9,2020-07-10,2020-07-26,407,22.60229288,57.58224239
"Late Jul","Delaware",10,2020-07-10,2020-07-26,285,22.78264799,53.77922853
"Late Jul","Florida",12,2020-07-10,2020-07-26,498,37.63749932,38.52246117
"Late Jul","Georgia",13,2020-07-10,2020-07-26,442,38.92975769,36.27023413
"Late Jul","Hawaii",15,2020-07-10,2020-07-26,295,18.73656144,37.96739489
"Late Jul","Iowa",19,2020-07-10,2020-07-26,412,28.2990441,27.77952686
"Late Jul","Idaho",16,2020-07-10,2020-07-26,358,36.22719247,43.16549239
"Late Jul","Illinois",17,2020-07-10,2020-07-26,474,26.15408502,50.52995405
"Late Jul","Indiana",18,2020-07-10,2020-07-26,322,29.44006766,50.19962818
"Late Jul","Kansas",20,2020-07-10,2020-07-26,368,35.15361796,50.23250376
"Late Jul","Kentucky",21,2020-07-10,2020-07-26,396,44.60641524,59.96577469
"Late Jul","Louisiana",22,2020-07-10,2020-07-26,412,38.91165459,48.47727969
"Late Jul","Massachusetts",25,2020-07-10,2020-07-26,382,27.55092564,70.09521611
"Late Jul","Maryland",24,2020-07-10,2020-07-26,472,22.16007083,74.74489209
"Late Jul","Maine",23,2020-07-10,2020-07-26,317,30.79333129,54.09480529
"Late Jul","Michigan",26,2020-07-10,2020-07-26,372,29.52027425,66.72389348
"Late Jul","Minnesota",27,2020-07-10,2020-07-26,389,35.86283341,53.76598975
"Late Jul","Missouri",29,2020-07-10,2020-07-26,358,40.6015972,38.82374957
"Late Jul","Mississippi",28,2020-07-10,2020-07-26,389,37.71510749,43.57537105
"Late Jul","Montana",30,2020-07-10,2020-07-26,292,33.30663102,53.08244446
"Late Jul","North Carolina",37,2020-07-10,2020-07-26,447,36.6621675,47.23400403
"Late Jul","North Dakota",38,2020-07-10,2020-07-26,215,34.97736642,60.43925353
"Late Jul","Nebraska",31,2020-07-10,2020-07-26,337,40.03321364,42.5731334
"Late Jul","New Hampshire",33,2020-07-10,2020-07-26,318,31.07955025,62.5597285
"Late Jul","New Jersey",34,2020-07-10,2020-07-26,396,29.12502488,57.11771021
"Late Jul","New Mexico",35,2020-07-10,2020-07-26,353,27.94069632,52.10239799
"Late Jul","Nevada",32,2020-07-10,2020-07-26,434,35.89537757,43.81984536
"Late Jul","New York",36,2020-07-10,2020-07-26,476,30.6920327,70.91411366
"Late Jul","Ohio",39,2020-07-10,2020-07-26,486,36.15998774,58.78035775
"Late Jul","Oklahoma",40,2020-07-10,2020-07-26,392,33.29339701,35.94051343
"Late Jul","Oregon",41,2020-07-10,2020-07-26,405,33.76765578,46.75160625
"Late Jul","Pennsylvania",42,2020-07-10,2020-07-26,479,36.25628155,51.50701663
"Late Jul","Rhode Island",44,2020-07-10,2020-07-26,351,27.20229697,71.75158464
"Late Jul","South Carolina",45,2020-07-10,2020-07-26,428,40.15314086,43.90279707
