FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Percent Uninsured,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Number pre-mature Deaths,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,State,cases_2022,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
18137,8490.0,15,18,34,8.6,26,18,9.0,3.0,4661.0,47.0,94.0,58,3.6,3.6,11.4,No,12,9,2,1,77.1,404.0,12,46.0,11,35,10.0,6.0,52562.0,42.0,28442,24.0,17.5,0.4,0.3,1.0,0.0,1.9,95.5,0,50.5,23989.0,IN,9324.664098568392,253.0,44.7,87.2
18139,9076.0,17,20,31,8.2,27,17,12.0,36.0,7148.0,50.0,98.0,45,3.1,4.6,11.3,Yes,12,11,1,1,75.8,257.0,13,57.0,14,34,13.0,9.0,51113.0,57.0,16645,22.7,18.1,0.9,0.3,0.3,0.0,1.6,95.8,0,50.7,10637.0,IN,5515.794958987519,253.0,44.5,84.1
18141,8207.0,17,20,32,7.2,24,19,10.0,95.0,4312.0,50.0,85.0,65,3.6,4.6,12.8,Yes,13,11,1,1,77.2,3511.0,10,167.0,15,37,12.0,6.0,52188.0,44.0,270434,23.7,15.4,13.0,0.5,2.5,0.1,8.8,72.7,2,51.3,24028.0,IN,80549.87139025038,253.0,55.0,86.2
18143,13454.0,19,22,34,8.3,34,17,9.0,42.0,7598.0,43.0,87.0,50,3.8,4.0,11.4,No,12,11,1,1,71.4,536.0,13,751.0,13,36,10.0,6.0,48615.0,32.0,23870,22.7,16.3,0.4,0.3,0.9,0.1,2.4,95.2,0,50.8,12747.0,IN,8741.97087364508,253.0,42.6,79.0
18145,9243.0,17,19,37,8.2,29,17,9.0,29.0,5783.0,50.0,95.0,52,3.3,3.9,11.8,No,12,10,2,1,76.4,642.0,14,64.0,12,36,10.0,7.0,61327.0,45.0,44395,22.8,16.8,1.1,0.3,0.9,0.1,4.3,92.4,1,50.3,23128.0,IN,16321.986353088038,253.0,54.2,90.9
18147,7229.0,14,18,34,8.8,25,18,8.0,34.0,3845.0,47.0,93.0,58,3.4,3.8,12.1,No,8,6,2,0,78.8,268.0,11,46.0,11,32,9.0,6.0,56646.0,23.0,20394,22.1,18.9,0.7,0.3,0.3,0.0,3.0,94.9,0,49.6,20952.0,IN,5966.721752812854,253.0,42.7,72.7
18149,10153.0,19,22,36,8.1,28,16,10.0,35.0,4568.0,36.0,93.0,48,4.4,4.0,12.3,No,13,11,2,0,75.0,411.0,13,36.0,13,36,12.0,6.0,46940.0,33.0,22893,22.8,18.0,0.4,0.5,0.2,0.0,3.8,94.2,1,50.0,19247.0,IN,5591.680904765576,253.0,34.6,69.0
18151,6507.0,14,20,32,8.1,32,18,9.0,32.0,4422.0,46.0,86.0,60,2.9,3.4,12.0,No,10,8,1,1,79.1,472.0,10,61.0,11,33,10.0,7.0,55184.0,29.0,34484,20.6,19.7,0.7,0.4,0.6,0.0,3.7,93.7,1,49.3,22989.0,IN,10895.25419523637,253.0,45.0,83.1
18153,9778.0,18,21,33,7.8,31,17,9.0,58.0,6944.0,40.0,82.0,51,4.4,5.2,11.5,No,14,12,2,2,75.5,369.0,14,72.0,15,34,11.0,6.0,46810.0,43.0,20746,19.6,17.4,4.5,0.3,0.3,0.0,1.8,91.9,0,45.8,16957.0,IN,6036.138230945844,253.0,46.9,81.0
18157,6514.0,17,17,30,7.3,21,18,11.0,70.0,3883.0,53.0,85.0,72,3.2,5.1,10.9,No,19,17,2,1,79.0,1688.0,7,94.0,16,32,12.0,7.0,52858.0,38.0,190587,20.9,11.3,5.2,0.4,8.5,0.1,8.5,75.7,2,48.9,25055.0,IN,57115.38290287348,253.0,54.3,85.2
