FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation index black/white,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,water,cases,deaths
1111,10890.0,22,20,37,7.2,30,14,26.0,4215.0,32.0,92.0,51,4.4,4.8,11.0,17,14,4,2,74.2,15,83.0,16,36,15.0,3.0,41112.0,33.0,31.0,22670,21.6,20.3,19.6,0.5,0.4,0.1,2.9,75.3,0,51.5,18638.0,267.0,34.2,65.9,0,6161.0,78.0
1113,11668.0,24,22,40,6.6,31,15,22.0,4027.0,41.0,88.0,61,4.3,4.9,12.1,17,14,3,1,72.9,13,375.0,20,41,14.0,2.0,36186.0,41.0,39.0,57045,24.5,14.0,44.6,0.6,0.9,0.3,5.4,46.5,1,52.0,18748.0,267.0,40.4,81.7,0,12377.0,98.0
1115,9682.0,18,20,36,8.4,30,16,17.0,6162.0,39.0,88.0,53,4.0,4.2,12.0,12,10,1,0,75.1,12,144.0,12,37,12.0,2.0,52755.0,31.0,28.0,88199,22.9,16.3,9.3,0.4,0.8,0.1,2.4,85.9,0,50.3,60853.0,267.0,40.2,73.5,0,31345.0,439.0
1117,6354.0,15,17,33,8.6,22,19,85.0,3910.0,43.0,94.0,75,3.2,4.1,12.0,11,9,1,1,80.4,9,148.0,10,37,10.0,2.0,74098.0,28.0,24.0,213605,23.8,14.8,12.6,0.4,2.2,0.1,5.8,78.0,2,51.5,44762.0,267.0,37.8,55.3,0,73695.0,476.0
1119,15413.0,32,23,43,4.5,32,11,54.0,5646.0,29.0,77.0,54,6.5,7.2,10.4,27,25,2,2,72.9,20,280.0,29,43,16.0,4.0,26495.0,33.0,31.0,12687,19.5,17.4,71.8,0.1,1.7,0.0,1.1,24.6,1,54.4,13763.0,267.0,55.6,90.7,0,3024.0,55.0
1121,12393.0,24,21,41,6.8,33,13,31.0,4924.0,35.0,93.0,50,5.0,4.8,11.5,16,13,2,1,72.9,16,260.0,19,42,13.0,2.0,41733.0,29.0,27.0,80065,21.4,17.5,32.5,0.4,0.6,0.0,2.3,62.7,1,51.6,45931.0,267.0,38.2,68.6,0,27380.0,392.0
1123,10204.0,24,21,35,7.1,31,14,42.0,4658.0,44.0,90.0,50,4.2,5.4,11.4,17,13,4,2,75.0,16,164.0,18,41,14.0,3.0,44469.0,42.0,41.0,40681,21.1,21.0,26.7,0.4,0.6,0.1,2.4,68.9,0,51.4,30890.0,267.0,39.7,69.2,0,13948.0,251.0
1125,8855.0,21,20,34,7.0,27,19,73.0,6078.0,46.0,89.0,65,4.1,4.9,11.3,18,16,2,1,76.2,13,235.0,18,38,12.0,2.0,51644.0,54.0,50.0,207811,21.1,12.8,31.7,0.3,1.6,0.1,3.7,61.6,1,51.8,49653.0,267.0,44.2,79.8,0,67772.0,837.0
1127,15488.0,22,20,38,7.4,33,14,46.0,4301.0,42.0,90.0,51,5.0,5.1,11.6,12,10,2,1,70.2,15,142.0,16,39,15.0,3.0,41925.0,40.0,30.0,64058,22.2,19.0,6.1,0.5,0.6,0.1,2.6,89.0,1,51.2,49656.0,267.0,48.7,87.3,0,22885.0,476.0
1129,13128.0,23,21,40,7.2,32,15,12.0,4939.0,25.0,93.0,53,6.8,4.7,10.1,9,7,1,2,73.0,17,98.0,18,39,17.0,4.0,44249.0,14.0,27.0,16531,22.2,18.5,23.7,7.9,0.7,0.1,1.6,65.0,0,51.0,17581.0,267.0,48.5,86.0,0,4252.0,60.0
1131,12067.0,30,24,44,2.1,35,11,36.0,4364.0,24.0,83.0,34,11.4,6.0,10.4,16,16,1,1,74.2,20,195.0,32,43,14.0,3.0,25700.0,18.0,18.0,10719,24.1,19.0,70.6,0.2,0.2,0.0,1.4,26.8,0,52.3,11670.0,267.0,57.5,92.0,1,3516.0,48.0
4001,16294.0,26,22,34,1.8,27,12,33.0,5557.0,36.0,74.0,50,10.4,7.0,5.7,34,8,15,18,72.4,16,195.0,26,35,24.0,12.0,33053.0,88.0,91.0,71606,27.6,14.9,0.5,75.0,0.4,0.0,6.3,18.2,5,50.6,52967.0,0.0,80.5,97.5,1,35201.87632847932,608.0
4003,7598.0,17,16,27,6.8,21,16,51.0,3823.0,30.0,84.0,66,5.6,5.0,7.5,16,12,3,2,78.6,11,172.0,15,31,12.0,7.0,48966.0,50.0,25.0,124756,21.9,22.0,3.9,1.8,2.2,0.4,35.6,55.1,5,49.3,47680.0,0.0,60.0,80.9,1,38355.30002691408,564.0
4005,8447.0,16,16,24,6.0,16,20,83.0,2098.0,38.0,81.0,69,5.6,5.3,5.6,25,17,7,4,79.2,8,107.0,19,31,15.0,10.0,54399.0,51.0,60.0,140776,20.9,12.1,1.3,27.7,2.0,0.2,14.1,54.1,2,50.6,42297.0,0.0,75.4,99.9,1,52098.71171567737,472.0
4007,13957.0,21,18,31,6.1,28,15,43.0,3458.0,35.0,82.0,53,6.1,4.5,5.8,17,12,4,3,73.8,13,95.0,18,32,16.0,11.0,38897.0,80.0,71.0,53501,20.3,28.2,0.6,17.6,0.8,0.1,18.7,62.4,2,50.5,22008.0,0.0,58.5,76.1,1,21015.42136285832,379.0
4009,7834.0,21,18,35,6.2,24,17,53.0,2688.0,36.0,84.0,53,5.4,5.0,6.0,17,11,7,2,78.4,11,76.0,16,29,12.0,7.0,46378.0,70.0,72.0,37466,27.3,13.8,1.5,13.8,0.7,0.2,32.8,51.0,2,46.7,17284.0,0.0,59.3,99.9,1,13901.335693089868,176.0
4011,6963.0,19,15,30,5.6,21,18,42.0,2049.0,28.0,92.0,55,5.1,3.6,5.7,14,7,7,2,81.2,11,119.0,13,34,10.0,6.0,63557.0,32.0,29.0,9455,27.6,12.9,1.7,3.8,1.0,0.1,46.8,46.7,3,48.4,3929.0,0.0,41.1,73.1,0,2669.304900300424,32.0
4012,13532.0,22,15,29,6.2,29,12,39.0,4270.0,25.0,82.0,35,5.4,4.6,5.7,15,8,6,2,78.2,15,131.0,15,32,23.0,12.0,36389.0,89.0,59.0,20601,16.9,39.3,0.9,18.2,1.0,0.1,26.9,57.7,5,48.7,11541.0,0.0,47.2,59.3,1,5898.8999616278525,143.0
4013,6353.0,15,14,27,7.7,19,19,70.0,3054.0,45.0,81.0,65,4.2,4.5,10.6,19,15,4,1,80.5,9,306.0,14,34,14.0,7.0,62221.0,42.0,34.0,4307033,24.3,14.8,5.4,2.8,4.4,0.3,31.1,55.4,5,50.5,90229.0,0.0,55.0,87.6,1,1484912.2368999922,17103.0
4015,10639.0,21,20,32,5.7,30,16,46.0,4220.0,36.0,83.0,46,5.9,4.1,5.1,17,13,3,1,75.5,13,132.0,18,33,14.0,7.0,42210.0,62.0,30.0,207200,17.5,29.7,1.1,3.0,1.2,0.2,16.4,77.4,2,49.6,45970.0,0.0,42.3,66.5,1,66224.15087920027,1435.0
